330
Kensington	MD	39.02567	-77.07637	2213	87
Kettering	MD	38.88456	-76.81469	12790	42
Kingstown	MD	39.20483	-76.05133	1733	5
Kingsville	MD	39.44872	-76.41774	4318	83
La_Plata	MD	38.52929	-76.97525	8753	57
La_Vale	MD	39.65564	-78.81058	3551	239
Lake_Arbor	MD	38.90789	-76.82969	9776	50
Lake_Shore	MD	39.10705	-76.48496	19477	17
Landover	MD	38.934	-76.89664	23078	17
Landover_Hills	MD	38.94317	-76.8922	1687	50
Langley_Park	MD	38.98872	-76.98136	18755	46
Lanham	MD	38.96706	-76.86192	10157	43
Lansdowne	MD	39.24511	-76.66052	8409	26
Largo	MD	38.89761	-76.83025	10709	53
Laurel	MD	39.09928	-76.84831	25115	51
Layhill	MD	39.09233	-77.04442	5169	134
Leisure_World	MD	39.1023	-77.06898	8749	128
Leonardtown	MD	38.29124	-76.63579	2930	26
Lexington_Park	MD	38.26679	-76.45384	11626	36
Linganore	MD	39.44038	-77.20804	8543	147
Linthicum	MD	39.20511	-76.65275	10324	41
Lochearn	MD	39.34066	-76.72219	25333	126
Lonaconing	MD	39.56592	-78.9803	1214	454
Londontowne	MD	38.93345	-76.54941	8018	6
Long_Beach	MD	38.46096	-76.46884	1821	7
Lusby	MD	38.41068	-76.45523	1835	31
Lutherville	MD	39.42122	-76.62608	6504	126
Manchester	MD	39.66121	-76.88498	4808	302
Marlboro_Meadows	MD	38.83622	-76.71497	3672	30
Marlow_Heights	MD	38.83345	-76.95164	5618	79
Marlton	MD	38.77373	-76.78997	9031	61
Maryland_City	MD	39.09205	-76.81775	16093	65
Maugansville	MD	39.69287	-77.74472	3071	189
Mayo	MD	38.88761	-76.5119	8298	4
Mays_Chapel	MD	39.43316	-76.64941	11420	140
Mechanicsville	MD	38.4429	-76.74385	1508	48
Mellwood	MD	38.81039	-76.82414	3051	66
Middle_River	MD	39.33427	-76.43941	25191	8
Middletown	MD	39.44371	-77.54471	4136	172
Milford_Mill	MD	39.34788	-76.76997	29042	151
Mitchellville	MD	38.92511	-76.74275	10967	32
Montgomery_Village	MD	39.17677	-77.19526	32032	114
Morningside	MD	38.83011	-76.89136	2015	81
Mount_Airy	MD	39.37621	-77.1547	9288	238
Mount_Rainier	MD	38.9415	-76.96498	8080	23
Mountain_Lake_Park	MD	39.39843	-79.38171	2092	748
Myersville	MD	39.5051	-77.56638	1626	205
Naval_Academy	MD	38.98568	-76.48774	4802	0
New_Carrollton	MD	38.96983	-76.87997	12135	23
New_Windsor	MD	39.54205	-77.10804	1396	152
North_Beach	MD	38.70734	-76.53107	1978	0
North_Bel_Air	MD	39.53983	-76.35496	33925	115
North_Bethesda	MD	39.04455	-77.11887	43828	120
North_East	MD	39.60011	-75.94133	3572	5
North_Kensington	MD	39.03039	-77.07248	9514	97
North_Laurel	MD	39.139	-76.87053	4474	90
North_Potomac	MD	39.08289	-77.26498	24410	79
Oakland	MD	39.40787	-79.40671	1925	731
Ocean_City	MD	38.3365	-75.08491	7102	1
Ocean_Pines	MD	38.39539	-75.15574	11710	2
Odenton	MD	39.084	-76.70025	37132	47
Olney	MD	39.15316	-77.06692	33844	165
Overlea	MD	39.36344	-76.52052	12275	69
Owings	MD	38.71762	-76.60135	2149	27
Owings_Mills	MD	39.41955	-76.78025	30622	152
Oxon_Hill	MD	38.80345	-76.9897	17722	57
Paramount-Long_Meadow	MD	39.68042	-77.6929	2571	184
Parkville	MD	39.37733	-76.53969	30734	101
Parole	MD	38.97956	-76.53052	15922	20
Pasadena	MD	39.10733	-76.57108	24287	25
Peppermill_Village	MD	38.89472	-76.88654	4895	60
Perry_Hall	MD	39.41261	-76.46357	28474	77
Perryman	MD	39.46955	-76.2044	2342	13
Perryville	MD	39.56011	-76.07134	4361	14
Pikesville	MD	39.37427	-76.72247	30764	155
Pittsville	MD	38.39539	-75.41297	1417	15
Pleasant_Hills	MD	39.47955	-76.39413	3379	125
Pocomoke_City	MD	38.07568	-75.56798	4184	2
Point_of_Rocks	MD	39.27594	-77.53915	1466	77
Poolesville	MD	39.14594	-77.41693	4883	125
Potomac	MD	39.01817	-77.20859	44965	110
Potomac_Heights	MD	38.60873	-77.14053	1117	23
Potomac_Park	MD	39.61176	-78.80585	2530	215
Prince_Frederick	MD	38.5404	-76.5844	2538	42
Princess_Anne	MD	38.2029	-75.69243	3290	5
Pumphrey	MD	39.21733	-76.63719	5322	24
Randallstown	MD	39.36733	-76.79525	32430	176
Redland	MD	39.14539	-77.14415	17242	150
Reisterstown	MD	39.46955	-76.82942	25968	221
Ridgely	MD	38.94789	-75.88438	1639	18
Rising_Sun	MD	39.69789	-76.06273	2781	118
Riva	MD	38.95206	-76.57802	4076	13
Riverdale_Park	MD	38.96344	-76.93164	6956	12
Riverside	MD	39.17344	-76.88525	6507	98
Riverside_2	MD	39.47372	-76.24134	6425	24
Riviera_Beach	MD	39.16678	-76.50802	12677	3
Robinwood	MD	39.63704	-77.65694	6918	171
Robinwood_2	MD	38.95428	-76.51468	5024	11
Rock_Hall	MD	39.13817	-76.23495	1310	5
Rockville	MD	39.084	-77.15276	61209	137
Rosaryville	MD	38.75678	-76.80969	10697	68
Rosedale	MD	39.32011	-76.51552	19257	6
Rossmoor	MD	39.10372	-77.07109	8453	133
Rossville	MD	39.33844	-76.47968	15147	13
Saint_Charles	MD	38.60317	-76.93858	36376	61
Saint_James	MD	39.5626	-77.75805	2953	139
Saint_Michaels	MD	38.78512	-76.22439	1029	2
Salisbury	MD	38.36067	-75.59937	30343	7
Savage	MD	39.13789	-76.82386	7054	64
Seabrook	MD	38.96789	-76.84497	17287	47
Seat_Pleasant	MD	38.89622	-76.90664	4542	33
Selby-on-the-Bay	MD	38.91622	-76.52246	4040	4
Severn	MD	39.13705	-76.6983	44231	49
Severna_Park	MD	39.07039	-76.54524	37634	12
Shady_Side	MD	38.84178	-76.51218	5803	3
Silver_Hill	MD	38.84178	-76.94581	5950	89
Silver_Spring	MD	38.99067	-77.02609	71452	104
Smithsburg	MD	39.65482	-77.57277	2975	235
Snow_Hill	MD	38.17706	-75.3927	2103	4
Solomons	MD	38.31846	-76.45412	2368	0
Somerset	MD	38.96594	-77.09609	1216	90
South_Bel_Air	MD	39.53316	-76.33746	48828	109
South_Gate	MD	39.129	-76.6258	29658	16
South_Kensington	MD	39.019	-77.07998	8462	86
South_Laurel	MD	39.06983	-76.85025	26112	49
Spencerville	MD	39.11427	-76.97831	1594	152
Spring_Ridge	MD	39.40149	-77.35248	5795	112
Springdale	MD	38.93761	-76.83886	2994	34
Stevensville	MD	38.98067	-76.3144	6803	4
